ApArtId	AP Art	AP Status	AP Start im Jahr	AP Stand Umsetzung	Pop Guid	Pop Nr	Pop Name	Pop Status	Pop bekannt seit	Pop X-Koordinaten	Pop Y-Koordinaten	TPop Guid	TPop Nr	TPop Gemeinde	TPop Flurname	TPop Status	TPop Status unklar	TPop Begründung für unklaren Status	TPop X-Koordinaten	TPop Y-Koordinaten	TPop Radius (m)	TPop Höhe	TPop Exposition	TPop Klima	TPop Hangneigung	TPop Beschreibung	TPop Kataster-Nr	TPop Verantwortlich	TPop für AP-Bericht relevant	TPop bekannt seit	TPop EigentümerIn	TPop Kontakt vor Ort	TPop Nutzungszone	TPop BewirtschafterIn	TPop Bewirtschaftung	TPop Lage repräsentiert Population	Massn Guid	Massn Jahr	Massn Datum	Massn Typ	Massn Massnahme	Massn BearbeiterIn	Massn Bemerkungen	Massn Plan vorhanden	Massn Plan Bezeichnung	Massn Fläche m2	Massn Form der Ansiedlung	Massn Pflanzanordnung	Massn Markierung	Massn Anz Triebe	Massn Pflanzen	Massn Anz Pflanzstellen	Massn Wirtspflanze	Massn Herkunftspopulation	Massn Sammeldatum	Massn MutWann	Massn MutWer	
100	Abies alba Mill.    >>>Testart<<<	in Bearbeitung	2002	noch keine Umsetzung	28b8d6fa-191e-11e2-b690-003048cd3590	2	na so was was					2c18fd54-3abe-11e2-a78a-003048cd3590	1		Feldkontrolle mit Biotoptest			hghg	695202	249073																0	601b446e-3356-11e2-a78a-003048cd3590																			2012-11-20 22:08:04	z	
100	Abies alba Mill.    >>>Testart<<<	in Bearbeitung	2002	noch keine Umsetzung	f3d7d7b6-0044-11e2-b690-003048cd3590	3	Aus dieser Pop TPop verschieben aha					613bd56a-39ab-11e2-a78a-003048cd3590							693250	243200																	567e31f4-3e0b-11e2-a78a-003048cd3590																			2012-12-04 13:08:38	salzmann	
100	Abies alba Mill.    >>>Testart<<<	in Bearbeitung	2002	noch keine Umsetzung	1fd7ae30-e6b5-11e1-b690-003048cd3590	4	Test5 machen wir einen besonders überlangen Namen	autochthon	2012	681258	247470	4d48609e-e6b5-11e1-b690-003048cd3590	1		Bäckeranlage Nord	autochthon			681871	247933									1							1	838ff1bc-e6b5-11e1-b690-003048cd3590																			2012-08-15 10:45:06	KarinMarti	
100	Abies alba Mill.    >>>Testart<<<	in Bearbeitung	2002	noch keine Umsetzung	1fd7ae30-e6b5-11e1-b690-003048cd3590	4	Test5 machen wir einen besonders überlangen Namen	autochthon	2012	681258	247470	21d1c452-b5b2-11e1-b690-003048cd3590	2	Andelfingen	ff	neu entdeckt, angesiedelt	1	Na, wie geht das? aha	705237	252933									1							0	60b2e3be-27ee-11e2-a78a-003048cd3590																			2012-11-06 09:45:55	salzmann	
100	Abies alba Mill.    >>>Testart<<<	in Bearbeitung	2002	noch keine Umsetzung	1fd7ae30-e6b5-11e1-b690-003048cd3590	4	Test5 machen wir einen besonders überlangen Namen	autochthon	2012	681258	247470	21d1c452-b5b2-11e1-b690-003048cd3590	2	Andelfingen	ff	neu entdeckt, angesiedelt	1	Na, wie geht das? aha	705237	252933								Barbara Merz	1							0	dfe87ab4-b867-11e1-b690-003048cd3590	1		Ansiedlung: Anpflanzung	bla bla	Barbara Merz											600			2012-11-04 23:25:55	z	
100	Abies alba Mill.    >>>Testart<<<	in Bearbeitung	2002	noch keine Umsetzung	1fd7ae30-e6b5-11e1-b690-003048cd3590	4	Test5 machen wir einen besonders überlangen Namen	autochthon	2012	681258	247470	06fba9ea-37c6-11e2-a78a-003048cd3590	3		gg				686200	239700																	492feb32-3a64-11e2-a78a-003048cd3590	1000	2012-03-07 00:00:00																	2012-11-29 21:57:34	z	
100	Abies alba Mill.    >>>Testart<<<	in Bearbeitung	2002	noch keine Umsetzung	c6513b4c-af4b-11e1-b690-003048cd3590	6	Pop	nur angesät	1980			1074710a-b5b2-11e1-b690-003048cd3590	5	Aarau (AG)	tpop	neu entdeckt, autochthon			682958	257302								Christine Dobler Gross									c370d900-b86f-11e1-b690-003048cd3590	2009	2009-02-02 00:00:00	Ansiedlung: Ansaat	bla bla	Christine Dobler Gross														2012-06-19 23:43:11	z	
100	Abies alba Mill.    >>>Testart<<<	in Bearbeitung	2002	noch keine Umsetzung	8fc5156e-29a1-11e2-a78a-003048cd3590	10	gfsgfd					b38e6cca-29a1-11e2-a78a-003048cd3590	1		neuen TPop verschieben zu 2																						d25491ac-29a1-11e2-a78a-003048cd3590																			2012-11-08 13:42:56	rüegg	
900	Aceras anthropophorum (L.) W. T. Aiton	kein AP			8852CDE0-6610-423D-8EEE-E07254CCB0D4	1	Steinmaur, Steinbruch	nur angesät	2005	676000	259800	2DB0BAEC-AF62-4B9B-8FCC-A91B3C244774	1	Steinmaur	Lägernsteinbruch	nur angesät	0		676000	259800	50	500				03/04 neugestaltete Fläche		Isabelle Flöss	1	2005						1	18891374-24E3-4E44-B0E3-DC160D9AE3BC	2005	2005-01-11 00:00:00	Ansiedlung: Ansaat		Isabelle Flöss		1										Densbüren (Asp), Hinterreben	2004	2012-11-12 08:46:37	luedi	
900	Aceras anthropophorum (L.) W. T. Aiton	kein AP			48BBB588-6316-4152-8BDD-18EF22319580	2	Eglisau, Chüehalden	nur angesät	2004	682230	270730	E1993291-ED00-4447-808F-0FFF2739B583	1	Eglisau	Chüehalden	nur angesät	0		682230	270730	100	425				Renaturierungsfläche neu gestaltet, sandig		Regula Langenauer	1	2004						1	9CBDECE2-C9D7-4884-984F-BFB52946B747	2004	2004-11-12 00:00:00	Ansiedlung: Ansaat		Regula Langenauer		0										Asp, West		2010-03-27 00:00:00	KarinMarti	
900	Aceras anthropophorum (L.) W. T. Aiton	kein AP			48BBB588-6316-4152-8BDD-18EF22319580	2	Eglisau, Chüehalden	nur angesät	2004	682230	270730	B29C77BF-44C9-4ABC-8358-1B16DE253830	2	Eglisau	Chüehalden	nur angesät	0		682239	270745								Charlotte Salzmann	1	2007						0	EBB843C0-083B-40C0-85B7-171D073C2D63	2007	2007-07-01 00:00:00	Ansiedlung: Ansaat		Charlotte Salzmann		1										1677, Merish. Asp West		2010-03-27 00:00:00	KarinMarti	
900	Aceras anthropophorum (L.) W. T. Aiton	kein AP			48BBB588-6316-4152-8BDD-18EF22319580	2	Eglisau, Chüehalden	nur angesät	2004	682230	270730	B29C77BF-44C9-4ABC-8358-1B16DE253830	2	Eglisau	Chüehalden	nur angesät	0		682239	270745								Charlotte Salzmann	1	2007						0	1848B5AA-AA11-4176-AB8F-13A9746972BD	2007	2007-09-17 00:00:00	Ansiedlung: Ansaat		Charlotte Salzmann		1										1677, Merish. Asp West		2010-03-27 00:00:00	KarinMarti	
900	Aceras anthropophorum (L.) W. T. Aiton	kein AP			48BBB588-6316-4152-8BDD-18EF22319580	2	Eglisau, Chüehalden	nur angesät	2004	682230	270730	B29C77BF-44C9-4ABC-8358-1B16DE253830	2	Eglisau	Chüehalden	nur angesät	0		682239	270745								Charlotte Salzmann	1	2007						0	4e572352-f88c-11e0-bd98-003048cd3590	2011	2011-07-21 00:00:00	Ansiedlung: Ansaat		Charlotte Salzmann	mit RF, auf Lehmfläche	1										1759, Asp E, Glattfelden		2011-10-17 08:51:35	topos	
900	Aceras anthropophorum (L.) W. T. Aiton	kein AP			48BBB588-6316-4152-8BDD-18EF22319580	2	Eglisau, Chüehalden	nur angesät	2004	682230	270730	376EE926-8A4D-45DC-9A09-63ADCA0744A9	3	Eglisau	Chüehalden SW-Hang	nur angesät	0		682189	270724						Am Südwest Hang		Karin Sartori	1	2008						0	9B704A95-E797-4BD1-A6F9-9FB0420E926C	2008	2008-07-29 00:00:00	Ansiedlung: Ansaat	Samen in 1Becher (200ml) Sand; Oberboden angehoben, Samen/Sand darunter geschoben, angedrückt	Karin Sartori	mit Kirsten Edelkraut, Orchideenmischung	1								13		1760/1759	4.+5.7.08	2010-03-27 00:00:00	KarinMarti	
900	Aceras anthropophorum (L.) W. T. Aiton	kein AP			FF395ADF-4790-473F-8B8A-8A43A2334843	3	Eglisau, Gentner Süd	nur angesät	2003	681000	271425	30E4FD8F-4069-45DE-88BB-CE840C1A6FDE	1	Eglisau	Gentner Süd	nur angesät	0		681000	271425		395				Magerwiese, liWa		Isabelle Flöss	1	2003						1	27FA23F9-94D2-4A79-A926-3E5638AE917C	2003	2003-11-13 00:00:00	Ansiedlung: Ansaat		Isabelle Flöss		0								53		Asp	2003	2010-03-27 00:00:00	KarinMarti	
900	Aceras anthropophorum (L.) W. T. Aiton	kein AP			FF395ADF-4790-473F-8B8A-8A43A2334843	3	Eglisau, Gentner Süd	nur angesät	2003	681000	271425	BFE20AA4-3AB4-4B78-A053-0295D5D55CE5	2	Eglisau	Gentner Süd	nur angesät	0		680928	271504	8							Marcel Leuthold	1	2008						0	3FFA01CD-754C-4476-9CBD-AA72F9C63B2B	2008	2008-08-08 00:00:00	Ansiedlung: Ansaat		Marcel Leuthold		1			auf einer Linie							1760/1759	4.7.+ 5.7.08	2010-03-27 00:00:00	KarinMarti	
900	Aceras anthropophorum (L.) W. T. Aiton	kein AP			FF395ADF-4790-473F-8B8A-8A43A2334843	3	Eglisau, Gentner Süd	nur angesät	2003	681000	271425	23809A90-6E64-42EC-86D3-DD2BA4BAE670	3	Eglisau	Gentner Süd	nur angesät	0		681025	271423								Charlotte Salzmann	1	2007						0	324BE088-9E1B-44D6-B70E-A94811D80F9D	2007	2007-09-05 00:00:00	Ansiedlung: Ansaat		Charlotte Salzmann		1										1677, Merish. Asp West		2010-03-27 00:00:00	KarinMarti	
900	Aceras anthropophorum (L.) W. T. Aiton	kein AP			FF395ADF-4790-473F-8B8A-8A43A2334843	3	Eglisau, Gentner Süd	nur angesät	2003	681000	271425	23809A90-6E64-42EC-86D3-DD2BA4BAE670	3	Eglisau	Gentner Süd	nur angesät	0		681025	271423								Andreas Keel	1	2007						0	08E66137-E1D7-4B9E-8E3C-DED7765F4D27	2008	2008-08-19 00:00:00	Ansiedlung: Ansaat	Samen in 1Becher (200ml) Sand; Oberboden angehoben, Samen/Sand darunter geschoben, angedrückt	Andreas Keel	mit KS; Orchideenmischung	1								100		1758 von 1 Ex (29.6.08).; R. Gämperle von 11 Ex. (27.7.08); 1760,1677,1759 (5.7.08)	29.6.08; 5.7.08; 27.7.08	2010-03-27 00:00:00	KarinMarti	
900	Aceras anthropophorum (L.) W. T. Aiton	kein AP			C7090216-596A-4D17-85CE-C53AFA18C1D6	4	Eglisau, Stampfi	nur angesät	2003	680575	270450	AD53F77D-630D-4FF6-AB0C-44968655CF62	1	Eglisau	Parzelle 224	nur angesät	0		680575	270450		370				Magerwiese		Isabelle Flöss	1				Naturschutzgebiet			1	375EA864-10ED-48F3-A08F-3DC62A64EFB1	2003	2003-11-13 00:00:00	Ansiedlung: Ansaat		Isabelle Flöss		0								60		Asp	2003	2010-03-27 00:00:00	KarinMarti	
