ApArtId	AP Art	AP Status	AP Start im Jahr	AP Stand Umsetzung	Pop Guid	Pop Nr	Pop Name	Pop Status	Pop bekannt seit	Pop X-Koordinaten	Pop Y-Koordinaten	Pop MutWann	Pop MutWer	
100	Abies alba Mill.    >>>Testart<<<	in Bearbeitung	2002	noch keine Umsetzung	c68e3b46-1927-11e2-b690-003048cd3590	1	Population		2000	686860	246248	2012-12-09 16:34:52	z	
100	Abies alba Mill.    >>>Testart<<<	in Bearbeitung	2002	noch keine Umsetzung	28b8d6fa-191e-11e2-b690-003048cd3590	2	na so was was			691500	244200	2012-12-08 00:37:38	z	
100	Abies alba Mill.    >>>Testart<<<	in Bearbeitung	2002	noch keine Umsetzung	f3d7d7b6-0044-11e2-b690-003048cd3590	3	Aus dieser Pop TPop verschieben aha			693250	243200	2012-12-08 00:37:46	z	
100	Abies alba Mill.    >>>Testart<<<	in Bearbeitung	2002	noch keine Umsetzung	1fd7ae30-e6b5-11e1-b690-003048cd3590	4	Test5 machen wir einen besonders überlangen Namen	autochthon	2012	681871	247933	2012-12-08 00:37:57	z	
100	Abies alba Mill.    >>>Testart<<<	in Bearbeitung	2002	noch keine Umsetzung	2577b966-af4c-11e1-b690-003048cd3590	5	Pop gg	neu entdeckt, angesiedelt	2010	705424	253072	2012-12-08 00:38:03	z	
100	Abies alba Mill.    >>>Testart<<<	in Bearbeitung	2002	noch keine Umsetzung	c6513b4c-af4b-11e1-b690-003048cd3590	6	Pop	nur angesät	1980			2012-09-16 23:27:47	z	
100	Abies alba Mill.    >>>Testart<<<	in Bearbeitung	2002	noch keine Umsetzung	7dd5c83e-1c14-11e2-b690-003048cd3590	7	Population 7	autochthon				2012-11-01 13:38:46	salzmann	
100	Abies alba Mill.    >>>Testart<<<	in Bearbeitung	2002	noch keine Umsetzung	8fc5156e-29a1-11e2-a78a-003048cd3590	10	gfsgfd					2012-11-08 13:41:55	rüegg	
100	Abies alba Mill.    >>>Testart<<<	in Bearbeitung	2002	noch keine Umsetzung	acdccc90-e6b8-11e1-b690-003048cd3590	500	Feldstrasse					2012-11-28 10:53:07	salzmann	
150	Abutilon theophrasti Medik.    >>>Testart<<<				a1c1027c-fb94-11e1-b690-003048cd3590	1	neu	autochthon				2012-10-17 16:10:27	salzmann	
150	Abutilon theophrasti Medik.    >>>Testart<<<				e236ebcc-e2ea-11e1-b690-003048cd3590	4	Pop Abies alba nach Arbutilon verschieben	autochthon	2012			2012-10-18 16:04:55	salzmann	
900	Aceras anthropophorum (L.) W. T. Aiton	kein AP			8852CDE0-6610-423D-8EEE-E07254CCB0D4	1	Steinmaur, Steinbruch	nur angesät	2005	676000	259800	2012-11-12 08:47:15	luedi	
900	Aceras anthropophorum (L.) W. T. Aiton	kein AP			48BBB588-6316-4152-8BDD-18EF22319580	2	Eglisau, Chüehalden	nur angesät	2004	682230	270730	2010-03-27 00:00:00	KarinMarti	
900	Aceras anthropophorum (L.) W. T. Aiton	kein AP			FF395ADF-4790-473F-8B8A-8A43A2334843	3	Eglisau, Gentner Süd	nur angesät	2003	681000	271425	2010-03-27 00:00:00	KarinMarti	
900	Aceras anthropophorum (L.) W. T. Aiton	kein AP			C7090216-596A-4D17-85CE-C53AFA18C1D6	4	Eglisau, Stampfi	nur angesät	2003	680575	270450	2011-10-17 16:42:39	topos	
900	Aceras anthropophorum (L.) W. T. Aiton	kein AP			0F83DD0D-7A61-4A98-B53D-18CB51ADBF3E	5	Glattfelden, Huser	nur angesät	2003			2010-03-27 00:00:00	KarinMarti	
900	Aceras anthropophorum (L.) W. T. Aiton	kein AP			E61A2287-7F3F-449C-9E17-E33FC111EBE0	6	Glattfelden, Nadelbändli	nur angesät	2003	681650	267675	2010-03-27 00:00:00	KarinMarti	
