ApArtId	AP Art	AP Status	AP Start im Jahr	AP Stand Umsetzung	Pop Guid	Pop Nr	Pop Name	Pop Status	Pop bekannt seit	Pop X-Koordinaten	Pop Y-Koordinaten	TPopId	TPop Guid	TPop Nr	TPop Gemeinde	TPop Flurname	TPop Status	TPop Status unklar	TPop Begründung für unklaren Status	TPop X-Koordinaten	TPop Y-Koordinaten	TPop Radius (m)	TPop Höhe	TPop Exposition	TPop Klima	TPop Hangneigung	TPop Beschreibung	TPop Kataster-Nr	TPop Verantwortlich	TPop für AP-Bericht relevant	TPop bekannt seit	TPop EigentümerIn	TPop Kontakt vor Ort	TPop Nutzungszone	TPop BewirtschafterIn	TPop Bewirtschaftung	TPop Lage repräsentiert Population	MutWann	MutWer	
												2146451025	9d79a6e8-bb79-11e1-b690-003048cd3590			tata	überprüft, kein Vorkommen	1		693039	248516																	2012-06-21 12:27:42	z	
												2146451039	b0eae1ea-e169-11e1-b690-003048cd3590																									2012-08-08 16:59:45	CharlotteSalzmann	
												2146451040	b7b518d8-e169-11e1-b690-003048cd3590																									2012-08-08 16:59:56	CharlotteSalzmann	
												2146451047	d1a95eb2-e6b8-11e1-b690-003048cd3590							684024	250186																0	2012-08-15 13:31:40	RegulaDickenmann	
												2146451053	9a5ba8b2-e77f-11e1-b690-003048cd3590																									2012-08-16 10:51:43	CharlotteSalzmann	
												2146451067	7ba5b060-1764-11e2-b690-003048cd3590																									2012-10-16 09:38:31	salzmann	
												2146451068	5127d282-1769-11e2-b690-003048cd3590																									2012-10-16 10:13:07	salzmann	
												2146451069	01bf51f0-1793-11e2-b690-003048cd3590							679636	249354																	2012-10-16 15:12:53	salzmann	
												2146451070	3fa8c91a-1793-11e2-b690-003048cd3590			Testv				682943	257510																	2012-10-16 15:14:01	salzmann	
												2146451108	b13030f8-2c99-11e2-a78a-003048cd3590																									2012-11-12 08:22:18	luedi	
												11329	AB3C22D0-80BC-47CA-8EEA-57E5347800F5	1	Dielsdorf	Lägernsteinbruch	angesiedelt, nach Beginn Aktionsplan	0		676000	259800	50	500				03/04 neugestaltete Fläche		Isabelle Flöss	1							0	2010-03-27 00:00:00	KarinMarti	
												11330	D76F42FD-94F0-46D4-A287-50DDDF746E09	1	Dielsdorf	Lägernsteinbruch	angesiedelt, nach Beginn Aktionsplan	0		676000	259800	50	500				neugestaltete Böschung		Isabelle Flöss	1							0	2010-03-27 00:00:00	KarinMarti	
												11346	02BF529A-6EEA-44D5-BF45-A8E454832E56	1	Dielsdorf	Lägernsteinbruch	nur angesät	0		676000	259800	50	500				03/04 neugestaltete Fläche		Isabelle Flöss	1	2005						1	2010-03-27 00:00:00	KarinMarti	
												11647	D4C4FF27-5DE0-4850-B1E9-94A488CF3EC1	1	Regensberg / Steinmaur	Schmidhalden, 'S'	nur angesät	0		675725	259800	150	520						Isabelle Flöss	1	2004						0	2010-03-27 00:00:00	KarinMarti	
												11816	746EC677-DA80-4193-96B4-E0718EA26F36	1	Dielsdorf	Lägernsteinbruch	nur angesät	0		676000	259800	50	500				03/04 neugestaltete Fläche		Isabelle Flöss	1	2005						1	2010-03-27 00:00:00	KarinMarti	
												12305	572583AF-0569-4E25-B2EA-FFF1B13BD949	1	Regensberg / Steinmaur	Schmidhalden	nur angesät	0		675725	259800						-		Isabelle Flöss	1	2004						0	2010-03-27 00:00:00	KarinMarti	
												12368	D7EDB253-6279-4074-8AB5-258D76849E21	1	Regensberg / Steinmaur	Schmidhalden	nur angesät	0		675725	259800	150	520						Isabelle Flöss	1	2004						0	2010-03-27 00:00:00	KarinMarti	
												12401	6ECF79D4-7738-4425-AF87-C787CB789B39	1	Dielsdorf	Lägernsteinbruch	angesiedelt, nach Beginn Aktionsplan	0		676000	259800	50	500				03/04 neugestaltete Fläche		Isabelle Flöss	1							1	2010-03-27 00:00:00	KarinMarti	
												12792	67040CF4-BF58-4E70-B37E-84BB8B60A184	1	Regensberg / Steinmaur	Schmidhalden	angesiedelt, vor Beginn Aktionsplan	0		675725	259800	150	520				auf Blocksteinen		Isabelle Flöss	1	2004						1	2010-03-27 00:00:00	KarinMarti	
												12860	38786D1C-4FFF-433F-ABE9-99ACDAFF00B7	1	Regensberg / Steinmaur	Schmidhalden, 'W'	nur angesät	0		675725	259800	150	520						Isabelle Flöss	1	2005						0	2010-03-27 00:00:00	KarinMarti	
												12961	18B0B490-71EF-4543-B2C7-7AB1670A358F	1	Regensberg / Steinmaur	Schmidhalden	nur angesät	0		675725	259800	150	520						Isabelle Flöss	1	2005						1	2010-03-27 00:00:00	KarinMarti	
												13284	F856CCF4-FF25-494A-BFBE-1A70D740F914	1	Regensberg / Steinmaur	Schmidhalden	nur angesät	0		675725	259800	150	520						Isabelle Flöss	1	2004						1	2010-03-27 00:00:00	KarinMarti	
												13312	885C26DD-1709-4822-8381-209A4D8DC17E	1	Regensberg / Steinmaur	Schmidhalden	angesiedelt, nach Beginn Aktionsplan	0		675725	259800	150	520						Isabelle Flöss	1							0	2010-03-27 00:00:00	KarinMarti	
												13313	B541857D-9C42-4372-A982-42443E4434CF	1	Regensberg / Steinmaur	Schmidhalden	nur angesät	0		675725	259800						-		Isabelle Flöss	1	2004						0	2010-03-27 00:00:00	KarinMarti	
