ApArtId	AP Art	AP Status	AP Start im Jahr	AP Stand Umsetzung	Pop Guid	Pop Nr	Pop Name	Pop Status	Pop bekannt seit	Pop X-Koordinaten	Pop Y-Koordinaten	TPopId	TPop Guid	TPop Nr	TPop Gemeinde	TPop Flurname	TPop Status	TPop Status unklar	TPop Begründung für unklaren Status	TPop X-Koordinaten	TPop Y-Koordinaten	TPop Radius (m)	TPop Höhe	TPop Exposition	TPop Klima	TPop Hangneigung	TPop Beschreibung	TPop Kataster-Nr	TPop Verantwortlich	TPop für AP-Bericht relevant	TPop bekannt seit	TPop EigentümerIn	TPop Kontakt vor Ort	TPop Nutzungszone	TPop BewirtschafterIn	TPop Bewirtschaftung	TPop Lage repräsentiert Population	MutWann	MutWer	
241800	Liparis loeselii (L.) Rich.	in Bearbeitung	2005	in Umsetzung	BD5C4722-9AA2-43CB-8D25-E4AF0E633746	1	Adliswil, Talried	erloschen, zuvor autochthon	1902	682900	240800	-904006672	F1389169-FACD-4D28-B49C-32CD458D8FB5	1	Adliswil	Talried	erloschen, zuvor autochthon	0		682900	240800								Charlotte Salzmann	2	1902						1	2010-03-27 00:00:00	KarinMarti	
241800	Liparis loeselii (L.) Rich.	in Bearbeitung	2005	in Umsetzung	57868CD6-0C19-4D35-AF05-D0A04C88F859	2	Andelfingen, Buchsee (?)	erloschen, zuvor autochthon	1907	693000	273000	-1735279714	73573D66-E9B8-4598-B1A1-DF25777F31FC	1	Andelfingen	Buchsee	erloschen, zuvor autochthon	0		693000	273000								Charlotte Salzmann	2	1907						1	2010-03-27 00:00:00	KarinMarti	
241800	Liparis loeselii (L.) Rich.	in Bearbeitung	2005	in Umsetzung	5AD6FF42-31C1-4E9D-93B7-6AAFEB2B4A49	3	Bäretswil/Hittnau, Grabenriet, Grossriet, Pfaffenbrunnenriet, Pulten	autochthon	1994	706480	245250	1859764988	05566C00-62E9-4211-B766-C00D23D01E6F	1	Bäretswil	Grabenriet	autochthon	0		706480	245250								Charlotte Salzmann	1	1994			NSG			1	2010-03-27 00:00:00	KarinMarti	
241800	Liparis loeselii (L.) Rich.	in Bearbeitung	2005	in Umsetzung	5AD6FF42-31C1-4E9D-93B7-6AAFEB2B4A49	3	Bäretswil/Hittnau, Grabenriet, Grossriet, Pfaffenbrunnenriet, Pulten	autochthon	1994	706480	245250	-1861892813	6D99FA19-AA1A-4071-ABF8-4B31C02EB9AD	2	Bäretswil	Grossriet	neu entdeckt, autochthon	0		706030	245270								Charlotte Salzmann	1	2008						1	2012-11-29 10:05:16	salzmann	
241800	Liparis loeselii (L.) Rich.	in Bearbeitung	2005	in Umsetzung	5AD6FF42-31C1-4E9D-93B7-6AAFEB2B4A49	3	Bäretswil/Hittnau, Grabenriet, Grossriet, Pfaffenbrunnenriet, Pulten	autochthon	1994	706480	245250	2146450424	9fdd36ca-8902-11e0-95ab-003048cd3590	3	Hittnau	Hittnau, Pfaffenbrunnenried	überprüft, kein Vorkommen			705800	245400								Charlotte Salzmann	1	2008						0	2012-11-29 10:05:14	salzmann	
241800	Liparis loeselii (L.) Rich.	in Bearbeitung	2005	in Umsetzung	5AD6FF42-31C1-4E9D-93B7-6AAFEB2B4A49	3	Bäretswil/Hittnau, Grabenriet, Grossriet, Pfaffenbrunnenriet, Pulten	autochthon	1994	706480	245250	2146450423	11eeea16-8902-11e0-95ab-003048cd3590	4	Hittnau	Hittnau, Pulten	überprüft, kein Vorkommen			705750	245000								Charlotte Salzmann	5	2008						0	2012-11-29 10:06:21	salzmann	
241800	Liparis loeselii (L.) Rich.	in Bearbeitung	2005	in Umsetzung	0278D3B2-4FE6-4127-B97F-1B2FAC5D4568	4	Bäretswil, Wappenswiler Ried	autochthon	1972	708440	242455	-211303127	60B46214-8B2B-473B-A908-31F9491D43A6	1	Bäretswil	Wappenswiler Ried	autochthon	0		708440	242455								Charlotte Salzmann	1	1972			NSG			1	2010-03-27 00:00:00	KarinMarti	
241800	Liparis loeselii (L.) Rich.	in Bearbeitung	2005	in Umsetzung	7E520C16-AC94-401B-838A-42F216DDC0EE	5	Bassersdorf, Unter-Äntschberg	autochthon	1966	688400	256650	-637162078	C2F424D7-D666-4155-B7D0-A3947C9AD281	1	Bassersdorf	Unter-Äntschberg	autochthon	1		688400	256650						Riedwiesen Unter-Äntschberg, westlich des Waldes		Charlotte Salzmann	1	1966			NSG			1	2012-11-14 10:03:05	salzmann	
241800	Liparis loeselii (L.) Rich.	in Bearbeitung	2005	in Umsetzung	DBED8C28-8014-4AD3-B4AD-8F6813798D29	6	Bauma, Waldweid	autochthon	1997	706320	250320	992206881	2708C427-3D9B-43E1-B547-75B182452FAF	1	Bauma	Waldweid	autochthon	0		706320	250320						Ca. 300m SE Sunneberg, rechts vom Wanderweg der in Richtung Homberg führt, im nassen Kleinseggenried		Charlotte Salzmann	1	1997			NSG			1	2012-11-08 15:55:26	rüegg	
241800	Liparis loeselii (L.) Rich.	in Bearbeitung	2005	in Umsetzung	00CF4A92-BA9B-4FE3-BC93-63B97F322568	7	Benken, Benkenriet	erloschen, zuvor autochthon	1946	690900	277975	1314348093	16DD3075-020E-41AA-A847-DF77A1A38C0A	1	Benken	Benkenriet	erloschen, zuvor autochthon	0		690900	277975								Charlotte Salzmann	2	1946						1	2010-03-27 00:00:00	KarinMarti	
